Unnamed: 0,name_x,summary,date,platform,score,url,userscore,ID,developer,publisher,popular_tags,game_details,genre,appid
68,Wolfenstein II: The New Colossus,"Wolfenstein II: The New Colossus is the highly anticipated sequel to the critically acclaimed, Wolfenstein: The New Order developed by the award-winning studio MachineGames. An exhilarating adventure brought to life by the industry-leading id Tech 6, Wolfenstein II sends players to Nazi-controlled America on a mission to recruit the boldest resistance leaders left. Fight the Nazis in iconic American locations, equip an arsenal of badass guns, and unleash new abilities to blast your way through legions of Nazi soldiers in this definitive first-person shooter. America, 1961. The Nazis maintain their stranglehold on the world. You are BJ Blazkowicz, aka Terror-Billy, member of the Resistance, scourge of the Nazi empire, and humanitys last hope for liberty. Only you have the guts, guns, and gumption to return stateside, kill every Nazi in sight, and spark the second American Revolution.",2017-10-27,PC,86,/game/pc/wolfenstein-ii-the-new-colossus,7.0,wolfensteiniithenewcolossus,Machine Games,"Bethesda Softworks,Bethesda Softworks","Action,FPS,Gore,Violent,Alternate History,Singleplayer,First-Person,Shooter,Story Rich,World War II,Nudity,Atmospheric,Comedy,Sci-fi,Stealth,Adventure,Dystopian,Great Soundtrack,Open World,Illuminati","Single-player,Steam Achievements,Full controller support,Steam Cloud",Action,612880
69,PlayerUnknown's Battlegrounds,PLAYERUNKNOWN'S BATTLEGROUNDS is a last-man-standing shooter being developed with community feedback. Players must fight to locate weapons and supplies in a massive 8x8 km island to be the lone survivor. This is BATTLE ROYALE.,2017-12-20,PC,86,/game/pc/playerunknowns-battlegrounds,4.7,playerunknownsbattlegrounds,PUBG Corporation,"PUBG Corporation,PUBG Corporation","Survival,Shooter,Multiplayer,Battle Royale,PvP,FPS,Third-Person Shooter,Action,Online Co-Op,Tactical,Co-op,First-Person,Early Access,Strategy,Competitive,Third Person,Team-Based,Difficult,Simulation,Stealth","Multi-player,Online Multi-Player,Stats","Action,Adventure,Massively Multiplayer",-1
70,Path of Exile,"Path of Exile is an online Action RPG set in the dark fantasy world of Wraeclast. They're a small independent team of hardcore gamers based in New Zealand and have created Path of Exile as the game that they'd want to play themselves. It is designed around a strong barter-based online item economy, deep character customisation, competitive PvP and ladder races. The game is completely free and will never be ""pay to win"". [Grinding Gear Games]",2013-01-25,PC,86,/game/pc/path-of-exile,7.9,pathofexile,Grinding Gear Games,"Grinding Gear Games,Grinding Gear Games","Free to Play,Action RPG,Hack and Slash,RPG,Multiplayer,Massively Multiplayer,Loot,Action,Fantasy,MMORPG,Adventure,Dungeon Crawler,Online Co-Op,Indie,Dark Fantasy,Co-op,PvE,Character Customization,Inventory Management,Fishing","Single-player,Multi-player,Online Multi-Player,MMO,Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases","Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG",238960
71,Call of Duty: Modern Warfare Remastered,"Call of Duty: Modern Warfare is back, remastered in true high-definition, featuring improved textures, physically based rendering, high-dynamic range lighting and much more. Relive one of the most iconic campaigns in history, as you are transported around the globe, including fan favorite missions ""All Ghillied Up,"" ""Mile High Club,"" and ""Crew Expendable."" You'll suit up as unforgettable characters Sgt. John ""Soap"" MacTavish, Capt. John Price and more, as you battle a rogue enemy group across global hot spots from Eastern Europe and rural Russia, all the way to the Middle East. Through an engaging narrative full of twists and turns, call on sophisticated technology and superior firepower as you coordinate land and air strikes on a battlefield where speed and accuracy are essential to victory.  Additionally, team up with your friends in the online mode that redefined Call of Duty by introducing kill streaks, XP, Prestige and more in customizable, classic multiplayer modes.",2016-11-04,PC,86,/game/pc/call-of-duty-modern-warfare-remastered,7.5,callofdutymodernwarfareremastered,"Raven Software,Beenox","Activision,Activision","FPS,Action,Shooter,Multiplayer,Violent,War,Singleplayer,First-Person,Military,Remake,Controller,Casual,Classic","Single-player,Online Multi-Player,Online Co-op,Steam Achievements",Action,-1
72,Football Manager 2019,"In Football Manager 2019 YOU are the author of your club's success: you define the tactics and style of play, and drive player recruitment to build the ultimate squad. You take an active role on the training ground, developing your squad and fine-tuning the preparations for upcoming matches.

Then, when Match Day arrives, you take your place on the touchline, overseeing proceedings as your players cross that magical white line. Now, your footballing vision is put to the test! Will the perfect substitution or tactical tweak be the difference between an agonising defeat or an ecstatic victory?

Features:

* Test your skills in 50 of the biggest footballing countries.
* Climb to the top of the table and beyond with any one of world's top 2500 clubs.
* Play the transfer market and scout more than 500,000 real players and staff.
* Watch your unique football vision play-out on our acclaimed 3D engine.",2018-11-02,PC,86,/game/pc/football-manager-2019,7.1,footballmanager2019,Sports Interactive,"SEGA,SEGA","Simulation,Sports,Management,Soccer,Football,Strategy,Multiplayer,Singleplayer,Addictive,Tactical,Heist,Economy,Casual,Real Time Tactics,RPG","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards","Simulation,Sports",872790
73,Assassin's Creed Odyssey,"Write your own epic odyssey and become a legendary Spartan hero. Forge your destiny in a world on the brink of tearing itself apart. Influence how history unfolds in an ever-changing world shaped by your choices.

Features:

* LEGENDARY SPARTAN HERO - Embark on your journey from outcast to legendary Spartan hero.
* ANCIENT GREECE AWAITS - Explore an entire country full of unexpected encounters in untamed environments and bustling ancient cities.
* CHOOSE YOUR PATH - Your choices shape the world around you. Play in a living world that constantly reacts to your every decision.
* FIGHT EPIC BATTLES - Charge into epic clashes between Sparta and Athens in battles pitting 150v150 soldiers against each other.
* SAIL THE AEGEAN SEA - Recruit crewmembers and customize your ship as you explore and battle your way on the open seas.",2018-10-02,PC,86,/game/pc/assassins-creed-odyssey,6.3,assassinscreedodyssey,"Ubisoft Quebec,Ubisoft Montreal,Ubisoft Bucharest,Ubisoft Singapore,Ubisoft Montpellier,Ubisoft Kiev,Ubisoft Shanghai","Ubisoft,Ubisoft","Open World,RPG,Assassin,Singleplayer,Action,Historical,Adventure,Stealth,Story Rich,Third Person,Parkour,Female Protagonist,Sexual Content,Choices Matter,Violent,Atmospheric,Great Soundtrack,Nudity,Multiplayer,Gore","Single-player,Steam Achievements,Steam Trading Cards,Captions available,In-App Purchases,Partial Controller Support","Action,Adventure,RPG",812140
74,Cyberpunk 2077,"Cyberpunk 2077 is an open-world, action-adventure story set in Night City, a megalopolis obsessed with power, glamour and body modification. Assume the role of V, a mercenary outlaw going after a one-of-a-kind implant that is the key to immortality. You can customize your character’s cyberware, skillset and playstyle, and explore a vast city where the choices you make shape the story and the world around you. Become a cyberpunk, an urban mercenary equipped with cybernetic enhancements and build your legend on the streets of Night City. Take the riskiest job of your life and go after a prototype implant that is the key to immortality.",2020-12-10,PC,86,/game/pc/cyberpunk-2077,7.0,cyberpunk2077,CD PROJEKT RED,"CD PROJEKT RED,CD PROJEKT RED","Cyberpunk,Masterpiece,Open World,RPG,Futuristic,Story Rich,Singleplayer,First-Person,Sci-fi,Nudity,Mature,FPS,Action,Sexual Content,Atmospheric,Violent,Great Soundtrack,Action RPG,Adventure,Dating Sim",Single-player,RPG,1091500
75,Rocket League,Soccer meets driving once again in this physics-based multiplayer-focused sequel to Supersonic Acrobatic Rocket-Powered Battle-Cars. Choose a variety of high-flying vehicles equipped with huge rocket boosters to score aerial goals and pull-off game-changing saves.,2015-07-05,PC,86,/game/pc/rocket-league,7.7,rocketleague,"Psyonix, Inc.","Psyonix, Inc.,Psyonix, Inc.","Multiplayer,Soccer,Competitive,Sports,Racing,Team-Based,Online Co-Op,Football,Fast-Paced,Co-op,Funny,Action,Great Soundtrack,Local Multiplayer,Split Screen,Local Co-Op,Singleplayer,Casual,4 Player Local,Indie","Single-player,Multi-player,Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats","Action,Indie,Racing,Sports",252950
76,Oxygen Not Included,"Oxygen Not Included is a space-colony simulation game. Manage your colonists and help them dig, build and maintain a subterranean asteroid base.",2019-07-30,PC,86,/game/pc/oxygen-not-included,8.3,oxygennotincluded,Klei Entertainment,"Klei Entertainment,Klei Entertainment","Early Access,Base Building,Survival,Resource Management,Building,Singleplayer,2D,Simulation,Management,Sandbox,Strategy,Space,Early Access,Indie,Sci-fi,Exploration,Open World,Adventure,Difficult,Space Sim",Single-player,"Indie,Simulation,Early Access",457140
77,Risk of Rain 2,"The classic multiplayer roguelike, Risk of Rain, returns with an extra dimension and more challenging action. Play solo, or team up with up to three friends to fight your way through hordes of monsters, unlock new loot, and find a way to escape the planet.",2020-08-11,PC,85,/game/pc/risk-of-rain-2,8.3,riskofrain2,Hopoo Games,"Gearbox Publishing,Gearbox Publishing","Early Access,Rogue-like,Co-op,Multiplayer,Early Access,Third-Person Shooter,Online Co-Op,Action,Great Soundtrack,Rogue-lite,Loot,Indie,Survival,Difficult,Bullet Hell,Third Person,Singleplayer,3D,Sci-fi,Local Co-Op","Single-player,Online Multi-Player,Online Co-op,Full controller support,Steam Cloud,Steam Leaderboards","Action,Indie,Early Access",632360
78,Cities: Skylines,"Developed by Colossal Order, Cities: Skylines offers sprawling landscapes and maps with endless sandbox gameplay and new ways to expand your city. Key to progression is the ability to influence your city’s policy by incorporating taxation into districts. All this plus the ability to mod the game to suit your play style.",2015-03-10,PC,85,/game/pc/cities-skylines,8.7,citiesskylines,Colossal Order Ltd.,"Paradox Interactive,Paradox Interactive","City Builder,Simulation,Building,Management,Strategy,Sandbox,Singleplayer,Moddable,Economy,Resource Management,Realistic,Mod,Replay Value,Casual,Family Friendly,Modern,Real-Time with Pause,Great Soundtrack,Funny,Action","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor","Simulation,Strategy",255710
79,Deep Rock Galactic,"Deep Rock Galactic is a 1-4 player co-op FPS featuring badass space Dwarves, 100% destructible environments, procedurally-generated caves, and endless hordes of alien monsters.",2020-05-13,PC,85,/game/pc/deep-rock-galactic,8.3,deeprockgalactic,Ghost Ship Games,"Coffee Stain Publishing,Coffee Stain Publishing","Early Access,Co-op,FPS,Multiplayer,Action,Exploration,Online Co-Op,Early Access,Survival,Sci-fi,Shooter,First-Person,Procedural Generation,Indie,Atmospheric,Space,PvE,Open World,Singleplayer,Horror","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Indie,Early Access",548430
80,GORN,"GORN is a ludicrously violent VR gladiator simulator, made by Free Lives, the developers of Broforce and Genital Jousting.",2019-07-18,PC,85,/game/pc/gorn,7.2,gorn,Free Lives,"Devolver Digital,Devolver Digital","Early Access,VR,Violent,Gore,Early Access,Action,Indie,Funny,Fighting,Blood,First-Person,Local Multiplayer,Singleplayer,Swordplay,Medieval,Sexual Content","Single-player,SteamVR Collectibles","Action,Indie,Early Access",578620
81,EverQuest,"Prepare to enter an enormous virtual environment-an entire world with its own diverse species, economic systems, alliances, and politics. Choose from a variety of races and classes, customize your character, and begin your quest in any number of cities of villages throughout multiple continents. Equip yourself for adventure, seek allies and knowledge, and experience a rich world of dungeons, towers, crypts, evil abbeys-anything is possible-even planes and realities beyond your imagination. Meet new friends from around the world to face epic challenges. Make yourself a noble human knight, a vicious dark elf thief, a greedy dwarven merchant, or whatever suits your desire. [Sony Online Entertainment]",1999-03-16,PC,85,/game/pc/everquest,7.9,everquest,Daybreak Game Company,"Daybreak Game Company,Daybreak Game Company","Free to Play,Massively Multiplayer,RPG,MMORPG,Fantasy,Classic,Old School,Adventure,Multiplayer,Sandbox,Action",MMO,"Free to Play,Massively Multiplayer,RPG",-1
82,Battlerite,"BATTLERITE is an action-packed team arena brawler. Experience the unique combination of a top-down shooter with a fast-paced fighting game. Challenge friends and others in a battle of reaction, unleashing the champion within you.",2017-11-08,PC,85,/game/pc/battlerite,7.3,battlerite,Stunlock Studios,"Stunlock Studios,Stunlock Studios","PvP,Multiplayer,Competitive,MOBA,Action,Free to Play,Arena Shooter,Fast-Paced,Team-Based,Fighting,Top-Down,Early Access,Strategy,e-sports,Difficult,Great Soundtrack,RPG,Top-Down Shooter,Hack and Slash,Atmospheric","Single-player,Multi-player,Online Multi-Player,In-App Purchases,Steam Cloud","Action,Free to Play",504370
83,Hotline Miami,"Step into the neon-soaked underground of 1980s Miami as bizarre messages on your answering machine seem to be urging you to commit terrible acts of violence - but will you obey? Hotline Miami overflows with raw brutality and skull crushing close combat as you find yourself outgunned and using your wits to choreograph your way through impossible situations. An unmistakable visual style, a driving soundtrack, and a surreal plot that will have you question your own thirst for blood. Bash and blast through over 20 multiscreen levels with 35 unique weapons and collect 25 game-altering masks in one of the darkest and most unusual independent games on the scene.",2012-10-23,PC,85,/game/pc/hotline-miami,8.5,hotlinemiami,Dennaton Games,"Devolver Digital,Devolver Digital","Great Soundtrack,Action,Violent,Indie,Top-Down,1980s,Fast-Paced,Pixel Graphics,Gore,Psychedelic,Retro,Difficult,Singleplayer,Surreal,Shooter,2D,Addictive,Atmospheric,Music,Top-Down Shooter","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","Action,Indie",219150
84,Final Fantasy XV: Windows Edition,"Set in modern times but with a touch of medieval influences, Final Fantasy XV focuses on Noctis Lucis Caelum, the prince of a dynasty which rules a city state that has the last remaining crystal. After the crystal is stolen by an invading nation, Niflheim, a global conflict ensues with all other nations wishing to gain it for themselves. Alongside the main protagonist, Noctis is joined by a military tactician Ignis Scienta, who can deftly handle a katana in battle, a melee fighter named Gladiolus Amicitia, gun-wielding Prompto Argentum, and head of the Royal Family Guards Cor Leonis. There's one other character that appears to get close with Noctis, even if her connection with him is still unknown. Her name is Stella Nox Fleuret, she seems to be strong and fight well with her rapier. Against this backdrop of a world at war, Noctis Lucis Caelum and his closest friends embark on an epic journey to try and get the crystal back.",2018-03-06,PC,85,/game/pc/final-fantasy-xv-windows-edition,8.2,finalfantasyxvwindowsedition,Square Enix,"Square Enix,Square Enix","RPG,Open World,JRPG,Fantasy,Story Rich,Great Soundtrack,Adventure,Singleplayer,Action,Multiplayer,Action RPG,Third Person,Anime,Hack and Slash,Fishing,Atmospheric,Online Co-Op,Co-op,First-Person,Violent","Single-player,Multi-player,Online Multi-Player,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",RPG,637650
85,South Park: The Stick of Truth,"South Park: The Game is an epic role-playing adventure that will allow the user to befriend Stan, Kyle, Cartman and Kenny and explore the quiet little mountain town like never before.",2014-03-04,PC,85,/game/pc/south-park-the-stick-of-truth,8.6,southparkthestickoftruth,Obsidian Entertainment,"Ubisoft,Ubisoft","RPG,Comedy,Adventure,Funny,Turn-Based,Dark Humor,Singleplayer,Action,Mature,2D,Satire,Nudity,Masterpiece,Cartoon,Open World,Story Rich,Fantasy,Epic,Turn-Based Strategy,Zombies","Single-player,Steam Achievements,Full controller support","Action,Adventure,RPG",213670
86,Shadow Tactics: Blades of the Shogun,"The tactical game with stealth elements Shadow Tactics: Blades of the Shogun is a cooperative endeavor of Daedalic Entertainment and Mimimi Productions. The game is a special take on the genre: it takes place during the Edo-Era of Japan in 1615. Within a playtime of roughly 25 hours, 5 characters will face challenging missions, each protagonist with their own special field of expertise. Only if you know the positive and negative qualities of your characters and play tactically and with finesse, will you master the challenges ahead.",2016-12-06,PC,85,/game/pc/shadow-tactics-blades-of-the-shogun,8.5,shadowtacticsbladesoftheshogun,Mimimi Productions,"Daedalic Entertainment,Daedalic Entertainment","Stealth,Tactical,Ninja,Strategy,Real Time Tactics,Singleplayer,Action,Historical,Isometric,RTS,Indie,Assassin,Difficult,Violent,Atmospheric,Third Person,Survival,Adventure,Great Soundtrack,Nudity","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Indie,Strategy",418240
87,Supraland,"A mix between Metroid, Portal, Mario and Zelda. Fight monsters, get new abilities, unlock new regions, solve puzzles, find secret areas, get upgrades, save your people.",2019-04-05,PC,85,/game/pc/supraland,8.5,supraland,Supra Games,"Supra Games,Supra Games","Adventure,Puzzle,Exploration,First-Person,Metroidvania,Puzzle-Platformer,Action,Indie,Singleplayer,Open World,Multiplayer,Cute,Sandbox,FPS,Colorful,3D Platformer","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","Action,Adventure,Indie",813630
88,Assetto Corsa,"Assetto Corsa is designed to provide a very realistic driving experience, with single player and multiplayer options, officially licensed cars and tracks developed using Laser scan technology, and the highest level of accuracy possible in reproducing real world motor racing environments. Also, Assetto Corsa allows for considerable customisation and modification, in order to satisfy the expectations of professional simracers, gamers who prefer to approach the driving experience more progressively, and hobbyists who just like to collect lots of cars and tracks.",2014-12-19,PC,85,/game/pc/assetto-corsa,8.4,assettocorsa,Kunos Simulazioni,"Kunos Simulazioni,Kunos Simulazioni","Racing,Simulation,Driving,Realistic,Multiplayer,Sports,VR,Moddable,Physics,Controller,Singleplayer,First-Person,Replay Value,Indie,Open World,Action,3D Vision,TrackIR,Artificial Intelligence,Early Access","Single-player,Online Multi-Player,Steam Achievements,Partial Controller Support,Steam Leaderboards,Includes level editor","Indie,Racing,Simulation,Sports",244210
89,Dragon Ball FighterZ,"After the success of the Xenoverse series, its time to introduce a new classic 2D DRAGON BALL fighting game for this generations consoles. DRAGON BALL FighterZ is born from what makes the DRAGON BALL series so loved and famous: endless spectacular fights with its allpowerful fighters. Partnering with Arc System Works, DRAGON BALL FighterZ maximizes high end Anime graphics and brings easy to learn but difficult to master fighting gameplay to audiences worldwide. 

Key Features:

* 3vs3 TAG/SUPPORT
Allows players to train and master more than one fighter/style which brings deeper gameplay

* HIGH-END ANIME GRAPHICS
Using the power of the Unreal engine and the talented team at Arc System Works, DRAGON BALL FighterZ is a visual tour-de-force 

* SPECTACULAR FIGHTS
Experience aerial combos, destructible stages, famous scenes from the DRAGON BALL anime reproduced in 60FPS and 1080p resolution (Higher resolution will be supported on PS4 Pro and Xbox Scorpio)",2018-01-26,PC,85,/game/pc/dragon-ball-fighterz,7.4,dragonballfighterz,Arc System Works,"BANDAI NAMCO Entertainment,BANDAI NAMCO Entertainment","Fighting,Anime,2D Fighter,Multiplayer,Action,Competitive,Local Multiplayer,Great Soundtrack,Controller,2.5D,Singleplayer,Arcade,Story Rich,Difficult,e-sports,Fast-Paced,Beat 'em up,Dragons,Adventure,Open World","Single-player,Multi-player,Online Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Action,678950
90,Star Wars: Knights of the Old Republic II - The Sith Lords,"Beginning approximately five years after the events of the first Knights of the Old Republic, The Sith Lords takes players on an entirely new journey as they assume the role of what is believed to be the last Jedi in the galaxy. The game features a cast of memorable returning characters and sinister new villains. Using more than 30 new Force powers, players can turn weak-minded enemies against one another in combat with ""Force confusion"" or see through doors and view character alignment with ""Force sight."" Assigned to protect the Old Republic and the Jedi Order from the terrifying Dark Lords of the Sith, players must explore and battle through seven diverse worlds while being challenged whether to choose the light side of the Force or surrender to the lure of the dark side. [LucasArts]",2005-02-08,PC,85,/game/pc/star-wars-knights-of-the-old-republic-ii---the-sith-lords,8.5,starwarsknightsoftheoldrepubliciithesithlords,"Obsidian Entertainment,Aspyr (Mac, Linux, & Windows Update)","LucasArts,Disney Interactive,Lucasfilm,Aspyr (Mac, Linux),LucasArts,Disney Interactive,Lucasfilm,Aspyr (Mac, Linux)","RPG,Star Wars,Story Rich,Sci-fi,Singleplayer,Classic,Real-Time with Pause,Adventure,Party-Based RPG,Choices Matter,Moddable,Masterpiece,Character Customization,Multiple Endings,Third Person,Space,Female Protagonist,Atmospheric,Action,Turn-Based Combat","Single-player,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud",RPG,208580
91,Total War: Three Kingdoms,"Total War: THREE KINGDOMS is the first in the award-winning series to recreate epic conflict across ancient China. Combining a gripping turn-based campaign of empire-building & conquest with stunning real-time battles, THREE KINGDOMS redefines the series in an age of heroes & legends.",2019-05-23,PC,85,/game/pc/total-war-three-kingdoms,7.6,totalwarthreekingdoms,"CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA,Feral Interactive (Mac),Feral Interactive (Linux),SEGA,Feral Interactive (Mac),Feral Interactive (Linux)","Strategy,Historical,War,Turn-Based Strategy,Grand Strategy,RTS,Military,Tactical,Multiplayer,Singleplayer,Real Time Tactics,Great Soundtrack,Turn-Based,Co-op,Action,Simulation,Violent,Fantasy,Sandbox,Destruction","Single-player,Multi-player,Steam Achievements,Steam Cloud","Action,Strategy",779340
92,Thronebreaker: The Witcher Tales,"From the creators of The Witcher 3: Wild Hunt comes a brand new tale set in the brutal and twisted universe of witcher Geralt of Rivia. The world stands on the verge of chaos, as the tensions between the power-hungry Nilfgaardian Empire and proud Northern Realms grow. Facing an imminent invasion, Meve — war-veteran Queen of Lyria and Rivia — is forced to once again enter the warpath, and set out on a dark journey of destruction and revenge.",2018-11-09,PC,85,/game/pc/thronebreaker-the-witcher-tales,8.0,thronebreakerthewitchertales,CD PROJEKT RED,"CD PROJEKT RED,CD PROJEKT RED","Card Game,Adventure,RPG,Story Rich,Singleplayer,Female Protagonist,Strategy,Choices Matter,Isometric,Great Soundtrack,Fantasy,Open World,Mature,Puzzle,Atmospheric,Dark Fantasy,Multiplayer","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Adventure,RPG",973760
93,Planescape: Torment - Enhanced Edition,"Uncover secrets of past lives in this story-rich, tactical roleplaying game set in Sigil, a dark fantasy city at the heart of the Dungeons & Dragons multiverse. Explore the planes, survive combat alongside a party of bizarre companions, and solve puzzles unlike any ever seen in the genre.",2017-04-11,PC,85,/game/pc/planescape-torment---enhanced-edition,7.3,planescapetormentenhancededition,Beamdog,"Beamdog,Beamdog","RPG,Story Rich,Classic,Party-Based RPG,Dark Fantasy,Isometric,CRPG,Adventure,Choices Matter,Fantasy,Atmospheric,Singleplayer,Great Soundtrack,Strategy,Masterpiece,Tactical RPG,Dungeons & Dragons,Philisophical,Cult Classic,Real-Time with Pause","Single-player,Steam Achievements,Steam Trading Cards,Captions available,Steam Cloud","Adventure,RPG,Strategy",466300
94,"Papers, Please","The communist state of Arstotzka has just ended a 6-year war with neighboring Kolechia and reclaimed its rightful half of the border town, Grestin. Your job as immigration inspector is to control the flow of people entering the Arstotzkan side of Grestin from Kolechia. Among the throngs of immigrants and visitors looking for work are hidden smugglers, spies, and terrorists. Using only the documents provided by travelers and the Ministry of Admission's primitive inspect, search, and fingerprint systems you must decide who can enter Arstotzka and who will be turned away or arrested.",2013-08-08,PC,85,/game/pc/papers-please,8.5,papersplease,Lucas Pope,"3909,3909","Indie,Political,Simulation,Point & Click,Singleplayer,Dystopian,Pixel Graphics,Puzzle,Retro,Multiple Endings,Story Rich,Atmospheric,2D,Strategy,Addictive,Great Soundtrack,Casual,Adventure,Replay Value,Difficult","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards","Adventure,Indie",239030
95,DOOM,"There is no taking cover or stopping to regenerate health in campaign mode as you beat back Hell’s raging demon hordes. Combine your arsenal of futuristic and iconic guns, upgrades, movement and an advanced melee system to knock-down, slash, stomp, crush, and blow apart demons in creative and violent ways. In multiplayer, dominate your opponents in DOOM’s signature, fast-paced arena-style combat. In both classic and all-new game modes, annihilate your enemies utilizing your personal blend of skill, powerful weapons, vertical movement, and unique power-ups that allow you to play as a demon. DOOM SnapMap is an easy-to-use game and level editor that allows for limitless gameplay experiences on every platform. Anyone can snap together and customize maps, add pre-defined or custom gameplay, and edit game logic to create new modes. Instantly play your creation or make it available to players around the world. [ID/Bethesda]",2016-05-13,PC,85,/game/pc/doom,8.5,doom,id Software,"Bethesda Softworks,Bethesda Softworks","FPS,Gore,Action,Demons,Shooter,First-Person,Great Soundtrack,Multiplayer,Singleplayer,Fast-Paced,Sci-fi,Horror,Classic,Atmospheric,Difficult,Blood,Remake,Zombies,Co-op,Memes","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",Action,379720
96,DiRT Rally 2.0,"DiRT Rally 2.0 dares you to carve your way through a selection of iconic rally locations from across the globe, in the most powerful off-road vehicles ever made, knowing that the smallest mistake could end your stage. You will need to rely on your instincts with the most immersive and truly focused off-road experience yet, including a new authentic handling model, tyre choice and surface deformation.

Power your rally car through real-life off-road environments in New Zealand, Argentina, Spain, Poland, Australia and the USA, with only your co-driver and instincts to guide you. Race on eight official circuits from the FIA World Rallycross championship, complete with licensed Supercars and support series. Develop your team and cars around race strategies, and progress through a varied selection of Events and Championships in both a single player Career Campaign and a competitive online environment.",2019-02-26,PC,84,/game/pc/dirt-rally-20,5.2,dirtrally20,Codemasters,"Codemasters,Codemasters","Racing,Simulation,Realistic,Driving,Offroad,Sports,Difficult,Singleplayer,Multiplayer,First-Person,VR,3D Vision,TrackIR,Open World","Single-player,Multi-player,Online Multi-Player,Steam Achievements,Full controller support,Steam Cloud","Racing,Simulation,Sports",690790
97,Fallout: New Vegas,The latest game in the post-nuclear RPG series is being developed by many members of the Fallout 1 and 2  team at Obsidian Entertainment using the Fallout 3 engine.,2010-10-19,PC,84,/game/pc/fallout-new-vegas,8.9,falloutnewvegas,Obsidian Entertainment,"Bethesda Softworks,Bethesda Softworks","Open World,RPG,Post-apocalyptic,Singleplayer,Moddable,Exploration,First-Person,Action,Story Rich,Adventure,Sci-fi,FPS,Atmospheric,Western,Action RPG,Survival,Sandbox,Character Customization,Masterpiece,Shooter","Single-player,Steam Achievements,Partial Controller Support,Steam Leaderboards","Action,RPG",5711
98,PlanetSide 2,PlanetSide 2 is an MMO FPS set in an online persistent world where the war wages non-stop and the balance of power shifts with every base and territory captured and lost.,2012-11-20,PC,84,/game/pc/planetside-2,7.1,planetside2,Daybreak Game Company,"Daybreak Game Company,Daybreak Game Company","Free to Play,FPS,Massively Multiplayer,Shooter,Action,Open World,Multiplayer,Team-Based,Sci-fi,Tactical,War,First-Person,PvP,Futuristic,Co-op,Online Co-Op,Strategy,Space,Adventure,RPG","Multi-player,MMO,Steam Trading Cards","Action,Free to Play,Massively Multiplayer",218230
99,Planet Coaster,"Planet Coaster is the future of coaster park simulation games. From the developer: We’ve created a living world where every guest is an individual with their own personality and money in their pocket. We’re giving you limitless freedom to build rides and scenery piece by piece, and to seamlessly blend them with your own hand-sculpted terrain. We’re building a connected global village where everyone can share in your creativity. And that’s just the start. We hope you’ll join us to dream, build and share the ultimate coaster parks in Planet Coaster. [Frontier]",2016-11-17,PC,84,/game/pc/planet-coaster,7.7,planetcoaster,Frontier Developments,"Frontier Developments,Frontier Developments","Simulation,Building,Management,Sandbox,Singleplayer,Strategy,Family Friendly,Great Soundtrack,Realistic,Funny,Open World,Atmospheric,Casual,Economy,Base Building,Colorful,Multiplayer,Adventure,First-Person,Action","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud","Simulation,Strategy",493340
100,Reventure,The one and only non-linear adventure with 100 different endings.,2019-06-04,PC,84,/game/pc/reventure,6.9,reventure,Pixelatto,"Pixelatto,Pixelatto","Adventure,Indie,Violent,Pixel Graphics,Comedy,Dark Humor,Retro,Multiple Endings,2D,Singleplayer,Exploration,Platformer,Dark Comedy,Metroidvania,Choose Your Own Adventure,Puzzle-Platformer,Great Soundtrack,Nonlinear,Mystery Dungeon,Choices Matter","Single-player,Steam Achievements,Full controller support,Steam Cloud","Adventure,Indie",900270
